time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/11/20 4:00,25.3,7.29,7.56,127.8,5.4,4.03,0.025,0.04,0.89
2020/11/20 8:00,25.2,7.11,7.1,127,5.6,3.74,0.025,0.037,0.93
2020/11/20 12:00,26,7.62,7.86,126.2,5.7,4.16,0.025,0.044,0.93
2020/11/20 16:00,26.4,8.4,8.38,125.7,6.4,4.27,0.025,0.042,0.9
2020/11/20 20:00,26.4,8.18,8.09,125.9,5.5,3.98,0.025,0.039,0.87
2020/11/21 0:00,25.9,7.8,7.77,126.7,6,3.98,0.025,0.039,0.87
2020/11/21 4:00,25.8,7.67,7.66,125.5,5.9,3.82,0.025,0.037,0.89
2020/11/21 8:00,25.6,7.34,7.41,125.9,5.4,3.91,0.025,0.039,0.94
2020/11/21 12:00,26.5,7.68,7.74,125.6,6.3,4.09,0.025,0.041,0.91
2020/11/21 16:00,26.8,8.27,8.02,124.8,6.7,4.51,0.025,0.047,0.92
2020/11/21 20:00,26.5,7.92,7.73,125,7.3,4.2,0.025,0.042,0.88
2020/11/22 0:00,26.2,7.41,7.32,125.6,6.6,4.2,0.025,0.042,0.88
2020/11/22 4:00,26.1,7.41,7.37,125.6,6.6,4.05,0.025,0.039,0.92
2020/11/22 8:00,26.1,7.29,7.2,125.5,5.9,4.25,0.025,0.04,0.93
2020/11/22 12:00,27,8,7.94,127.6,6.5,4.45,0.025,0.051,0.95
2020/11/22 16:00,27.8,8.69,8.54,127.1,6.9,4.68,0.025,0.052,0.9
2020/11/22 20:00,27.3,8.61,8.16,125.9,6.4,4.23,0.025,0.045,0.84
2020/11/23 0:00,26.7,7.94,7.6,125.4,6.5,4.23,0.025,0.045,0.84
2020/11/23 4:00,26.4,7.67,7.39,125.4,6.3,4.17,0.025,0.043,0.83
2020/11/23 8:00,26,7.49,7.15,126.7,6.4,4.07,0.025,0.043,0.89
2020/11/23 12:00,26.2,7.98,8.17,128.7,5.4,4.1,0.039,0.047,0.92
2020/11/23 16:00,26.6,8.5,8.73,129.8,6.2,5.9,0.042,0.043,0.68
2020/11/23 20:00,26.2,7.89,8.11,129.8,5.9,7,0.041,0.042,0.56
2020/11/24 0:00,25.8,7.49,8.05,130.6,5.9,7,0.041,0.042,0.56
2020/11/24 4:00,25.3,6.77,7.17,132.5,6.2,5.62,0.053,0.04,0.62
2020/11/24 8:00,25,6.76,7.83,133.4,6.2,4.14,0.061,0.039,0.67
2020/11/24 12:00,25.7,7.26,8.12,132.3,5.8,4.14,0.034,0.041,0.6
2020/11/24 20:00,25.9,8.37,9.25,132.7,5.5,4.28,0.036,0.05,0.65
2020/11/25 0:00,25.9,6.89,7.32,133.4,5.1,4.28,0.036,0.05,0.65
2020/11/25 4:00,25.5,6.86,7.01,133.4,5,-1,-1,-1,-1
2020/11/26 12:00,26.2,7.96,8.2,133,5.8,4.11,0.043,0.043,0.91
2020/11/26 16:00,26.6,8.44,8.74,132.6,6.3,4.77,0.042,0.045,0.79
2020/11/26 20:00,26.8,8.4,8.65,133.1,5.7,4.37,0.037,0.041,0.79
2020/11/27 0:00,26.1,8.29,8.34,133.1,5.7,4.36,0.034,0.039,0.74
2020/11/27 4:00,25.5,7.26,7.66,133.3,6.2,3.91,0.033,0.04,0.7
2020/11/27 8:00,25,6.7,6.77,134.9,5.8,3.44,0.055,0.038,0.84
2020/11/27 12:00,25.5,7.12,7.74,134.9,5.5,3.92,0.033,0.038,0.79
2020/11/27 16:00,26,7.47,8,135.7,5.6,4.04,0.032,0.038,0.85
2020/11/27 20:00,25.4,6.81,7.08,135.4,6.3,3.79,0.035,0.037,0.76
2020/11/28 0:00,24.8,6.69,6.72,136.6,8.1,3.79,0.035,0.037,0.76
2020/11/28 4:00,24.3,6.57,6.23,137.1,9,3.36,0.056,0.037,0.75
2020/11/28 8:00,23.9,6.54,5.99,136.5,8.5,3.32,0.051,0.036,0.76
2020/11/28 12:00,24.2,6.72,6.83,136.4,8.1,3.6,0.039,0.039,0.68
2020/11/28 16:00,24.3,6.81,6.94,138.5,8.1,3.79,0.036,0.037,0.77
2020/11/28 20:00,23.9,6.59,6.32,137.8,9.3,3.56,0.043,0.037,0.69
2020/11/29 0:00,23.6,6.6,6.44,138.6,10.3,3.56,0.043,0.037,0.69
2020/11/29 4:00,23.4,6.56,6.19,139.1,11.4,3.36,0.06,0.038,0.65
2020/11/29 8:00,23.1,6.6,6.35,138.8,10.9,3.54,0.048,0.038,0.72
2020/11/29 12:00,23.5,6.67,6.62,139.3,10.5,3.58,0.043,0.042,0.71
2020/11/29 16:00,23.6,6.61,6.34,139.7,8.9,3.4,0.05,0.036,0.75
2020/11/29 20:00,23.2,6.58,6.18,139.4,9.3,3.27,0.051,0.035,0.7
2020/11/30 0:00,22.9,6.58,6.37,139.3,10.2,3.26,0.042,0.034,0.68
2020/11/30 4:00,22.6,6.56,6.16,139.2,9.8,3.23,0.043,0.035,0.68
2020/11/30 8:00,22.4,6.58,6.35,139.4,10.2,3.24,0.044,0.038,0.68
2020/11/30 12:00,22.6,6.64,6.57,139.9,10.1,3.38,0.04,0.039,0.71
2020/11/30 16:00,23.3,6.66,6.18,140.2,8,3.41,0.08,0.036,0.77
2020/11/30 20:00,22.9,6.56,6.06,139.8,8.4,3.21,0.071,0.034,0.7
2020/12/1 0:00,22.6,6.54,5.99,139.2,10.1,3.17,0.061,0.034,0.65
2020/12/1 4:00,22.4,6.58,5.96,139.1,11.5,3.16,0.056,0.037,0.65
2020/12/1 8:00,22.1,6.56,5.93,139.3,11.1,3,0.059,0.036,0.68
2020/12/1 12:00,22.8,6.67,6.71,146.8,10.2,3.5,0.054,0.036,0.71
2020/12/1 16:00,23.1,6.67,6.8,147.8,8.1,3.35,0.105,0.036,0.83
2020/12/2 0:00,22.6,6.55,7.97,146.6,8.2,3.35,0.105,0.036,0.83
2020/12/2 4:00,22.5,6.55,6.97,146.6,8.3,3.31,0.067,0.035,0.68
2020/12/2 8:00,22.2,6.56,7.44,146,8.7,3.28,0.061,0.036,0.71
2020/12/2 12:00,22.9,6.7,6.98,146.4,10.5,3.62,0.049,0.038,0.71
2020/12/2 16:00,23.2,6.79,6.98,146.9,8.5,3.76,0.073,0.038,0.8
2020/12/2 20:00,22.8,6.66,6.64,146.7,8.4,3.46,0.06,0.036,0.72
2020/12/3 0:00,22.5,6.58,6.3,146.2,8.7,3.46,0.06,0.036,0.72
2020/12/3 4:00,22.1,6.51,6.14,145.3,10.4,3.55,0.055,0.036,0.64
2020/12/3 8:00,21.9,6.54,6.34,145.3,12.3,3.29,0.058,0.037,0.71
2020/12/3 12:00,22.3,6.66,6.79,145.4,10.5,3.43,0.048,0.038,0.67
2020/12/3 16:00,22.4,6.66,6.8,146.4,8.8,3.46,0.061,0.037,0.69
2020/12/3 20:00,22.1,6.56,6.47,146,9.2,3.33,0.066,0.033,0.66
2020/12/4 0:00,21.8,6.57,6.42,146.6,11.1,3.33,0.066,0.033,0.66
2020/12/4 4:00,21.4,6.57,6.4,146.9,10.6,3.26,0.08,0.034,0.69
2020/12/4 8:00,21.2,6.59,6.64,146.6,9.6,3.15,0.082,0.035,0.73
2020/12/4 12:00,21.6,6.64,6.85,147.7,11.2,3.15,0.086,0.036,0.72
2020/12/4 16:00,22,6.67,6.85,148.1,9.3,3.41,0.112,0.035,0.78
2020/12/4 20:00,21.5,6.57,6.41,147.4,9.2,3.15,0.091,0.035,0.71
2020/12/5 0:00,21.1,6.59,6.49,146.8,12.1,3.15,0.091,0.035,0.71
2020/12/5 4:00,20.9,6.61,6.66,146.7,13.4,3.13,0.07,0.037,0.65
2020/12/5 8:00,20.6,6.61,6.66,147.1,10.6,3.22,0.083,0.036,0.71
2020/12/5 12:00,21.1,6.69,6.98,147.3,11.8,3.5,0.069,0.038,0.68
2020/12/5 16:00,21.7,6.65,6.72,149.2,8.1,3.38,0.155,0.038,0.86
2020/12/5 20:00,21.3,6.55,6.41,149,8.4,3.37,0.15,0.036,0.82
2020/12/6 0:00,20.9,6.54,6.08,148.4,9.1,3.1,0.122,0.035,0.75
2020/12/6 4:00,20.6,6.55,6.34,147,9.8,3.18,0.08,0.037,0.67
2020/12/6 8:00,20.4,6.56,6.52,146.3,13.6,3.42,0.079,0.039,0.64
2020/12/6 12:00,20.9,6.65,6.92,148.2,11.5,3.39,0.082,0.038,0.71
2020/12/6 16:00,21.3,6.67,6.81,149.4,9.4,3.61,0.108,0.04,0.78
2020/12/6 20:00,21.3,6.62,6.64,149.2,9.9,3.24,0.122,0.038,0.78
2020/12/7 0:00,20.9,6.59,6.31,148.7,9.3,3.24,0.122,0.038,0.78
2020/12/7 4:00,20.8,6.56,6.11,147.9,9.1,3.24,0.074,0.036,0.74
2020/12/7 8:00,20.6,6.5,6.27,147.4,11.7,3.7,0.078,0.038,0.67
2020/12/7 12:00,21.2,6.69,6.9,148.4,9.7,7.95,0.047,0.038,0.63
2020/12/7 16:00,21.8,6.72,6.94,149.6,9.8,23.39,0.122,0.043,1.28
2020/12/7 20:00,21.3,6.61,6.6,148.7,9,3.61,0.093,0.039,1.15
2020/12/8 0:00,20.8,6.56,6.25,147.6,9.7,3.61,0.093,0.039,1.15
2020/12/8 4:00,20.4,6.53,6.3,146.9,10.6,3.2,0.081,0.038,0.96
2020/12/8 8:00,20.3,6.55,6.06,146.5,13.9,3.46,0.08,0.039,1.03
2020/12/8 12:00,20.6,6.61,7.28,142.7,11.9,3.26,0.062,0.038,0.99
